method,documents,dimensions,query,repetition,top_k,recall,request_ms,elapsed_ms,nodes,random_nodes,bitplane_words,documents_scored,leaf_words,peak_mask_bytes,key_attempts,keys_generated,peak_key_queue_bytes,stop_reason
scan,16384,256,2,0,100,1.0,0.45070797204971313,0.44775,0,0,0,16384,0,0,0,0,0,exhausted
scan,16384,256,3,0,100,1.0,0.4490828141570091,0.446584,0,0,0,16384,0,0,0,0,0,exhausted
scan,16384,256,4,0,100,1.0,0.4499172791838646,0.447292,0,0,0,16384,0,0,0,0,0,exhausted
scan,16384,256,5,0,100,1.0,0.4524160176515579,0.45,0,0,0,16384,0,0,0,0,0,exhausted
scan,16384,256,6,0,100,1.0,0.4488336853682995,0.445417,0,0,0,16384,0,0,0,0,0,exhausted
scan,16384,256,7,0,100,1.0,0.4466669633984566,0.444417,0,0,0,16384,0,0,0,0,0,exhausted
scan,16384,256,0,1,100,1.0,0.44850027188658714,0.446291,0,0,0,16384,0,0,0,0,0,exhausted
scan,16384,256,1,1,100,1.0,0.45016733929514885,0.447666,0,0,0,16384,0,0,0,0,0,exhausted
scan,16384,256,2,1,100,1.0,0.48500020056962967,0.480958,0,0,0,16384,0,0,0,0,0,exhausted
scan,16384,256,3,1,100,1.0,0.4492499865591526,0.446084,0,0,0,16384,0,0,0,0,0,exhausted
scan,16384,256,4,1,100,1.0,0.4959581419825554,0.485875,0,0,0,16384,0,0,0,0,0,exhausted
scan,16384,256,5,1,100,1.0,0.45729195699095726,0.4505,0,0,0,16384,0,0,0,0,0,exhausted
scan,16384,256,6,1,100,1.0,0.4508337005972862,0.447584,0,0,0,16384,0,0,0,0,0,exhausted
scan,16384,256,7,1,100,1.0,0.4513752646744251,0.448458,0,0,0,16384,0,0,0,0,0,exhausted
scan,16384,256,0,2,100,1.0,0.48629194498062134,0.48275,0,0,0,16384,0,0,0,0,0,exhausted
scan,16384,256,1,2,100,1.0,0.4543750546872616,0.450834,0,0,0,16384,0,0,0,0,0,exhausted
scan,16384,256,2,2,100,1.0,0.47604087740182877,0.464167,0,0,0,16384,0,0,0,0,0,exhausted
scan,16384,256,3,2,100,1.0,0.4585832357406616,0.451125,0,0,0,16384,0,0,0,0,0,exhausted
scan,16384,256,4,2,100,1.0,0.4509999416768551,0.44775,0,0,0,16384,0,0,0,0,0,exhausted
scan,16384,256,5,2,100,1.0,0.4520830698311329,0.4495,0,0,0,16384,0,0,0,0,0,exhausted
scan,16384,256,6,2,100,1.0,0.44787535443902016,0.445459,0,0,0,16384,0,0,0,0,0,exhausted
scan,16384,256,7,2,100,1.0,0.44833263382315636,0.446041,0,0,0,16384,0,0,0,0,0,exhausted
branch,16384,256,0,0,100,1.0,1.0465825907886028,1.038625,1489,0,190464,16384,190720,376832,0,0,0,exhausted
branch,16384,256,1,0,100,1.0,1.0770000517368317,1.069042,1495,0,191232,16384,191488,346112,0,0,0,exhausted
