query,top_k,query_l1,kth_score,gap,optimistic_min_depth
70,10,11.577446047274861,8.191347523999866,3.3860985232749954,9
71,10,12.407566333233262,7.719610403684783,4.68795592954848,16
72,10,11.963343406678177,9.785919470828958,2.1774239358492196,7
73,10,12.42138427188911,10.147795387616497,2.2735888842726126,7
74,10,12.627870481686841,9.115967605779588,3.5119028759072535,12
75,10,12.063590218880563,7.1312178465450415,4.9323723723355215,16
76,10,11.92403601971455,8.165804608725011,3.758231410989538,11
77,10,12.403852878705948,9.678227244628943,2.725625634077005,8
78,10,12.298967521754093,8.447097477386706,3.851870044367388,13
79,10,12.503771906194743,8.503743483277503,4.000028422917239,13
80,10,12.189124374061066,6.945465239223267,5.243659134837799,18
81,10,12.265272748394636,8.539970251760678,3.725302496633958,11
82,10,12.456744105285907,7.29726688509254,5.1594772201933665,19
83,10,11.916105430282187,8.061559509660583,3.8545459206216037,11
84,10,13.086644734401489,9.446103591442807,3.640541142958682,13
85,10,11.929925476229982,10.328848027769709,1.6010774484602734,4
86,10,12.151189037656877,7.985148332139943,4.166040705516934,13
87,10,12.50342912004271,8.629416390569531,3.874012729473179,13
88,10,12.514374077582033,9.590785810461966,2.923588267120067,9
89,10,12.178552254976239,8.756679117272142,3.4218731377040967,10
90,10,12.181682775320951,9.755555323150475,2.4261274521704763,7
91,10,11.912412747566123,8.286480871203821,3.6259318763623014,10
92,10,12.50480921388953,7.194001658208435,5.3108075556810945,20
93,10,12.18923980677937,7.872850192296028,4.316389614483342,14
94,10,11.670534916833276,7.676436198089505,3.9940987187437713,12
95,10,12.481907787107048,9.196919144058484,3.284988643048564,10
64,100,12.573783247229585,7.218355883123877,5.355427364105708,19
65,100,12.20601787303167,7.3141611956380075,4.891856677393662,17
66,100,12.140683642224758,6.673962023211061,5.466721619013697,19
67,100,12.198917979258113,6.53586457145866,5.6630534077994525,20
68,100,11.862092780007515,8.367293771123514,3.4947990088840015,11
69,100,12.516917772067245,5.976127093133982,6.540790678933263,24
70,100,11.577446047274861,7.419056688842829,4.158389358432032,12
71,100,12.407566333233262,6.940216675910051,5.467349657323211,19
72,100,11.963343406678177,8.167132754810154,3.796210651868023,12
73,100,12.42138427188911,8.941487787131337,3.4798964847577736,12
74,100,12.627870481686841,7.315230255255301,5.31264022643154,20
75,100,12.063590218880563,6.383006457137526,5.680583761743037,19
76,100,11.92403601971455,6.918237957870588,5.0057980618439615,16
77,100,12.403852878705948,7.8863061441952595,4.517546734510688,15
78,100,12.298967521754093,7.037810590700246,5.261156931053847,18
79,100,12.503771906194743,7.818321228551213,4.68545067764353,16
80,100,12.189124374061066,5.984048673351936,6.205075700709131,22
81,100,12.265272748394636,7.356054653908359,4.9092180944862776,16
82,100,12.456744105285907,6.577520119179098,5.879223986106808,22
83,100,11.916105430282187,6.75566866848385,5.160436761798337,17
84,100,13.086644734401489,7.536008635681355,5.550636098720133,21
85,100,11.929925476229982,9.093821438815212,2.8361040374147706,8
86,100,12.151189037656877,7.034422757511493,5.116766280145384,17
87,100,12.50342912004271,7.735532186270575,4.7678969337721355,16
88,100,12.514374077582033,7.154561624600319,5.359812452981714,19
89,100,12.178552254976239,7.598299834469799,4.58025242050644,14
90,100,12.181682775320951,8.927909812133294,3.2537729631876573,10
91,100,11.912412747566123,7.312230048759375,4.600182698806748,14
92,100,12.50480921388953,5.7734215351811145,6.7313876787084155,27
93,100,12.18923980677937,6.903124413009209,5.28611539377016,18
94,100,11.670534916833276,6.788117293588584,4.882417623244692,15
95,100,12.481907787107048,8.011916378440219,4.469991408666829,15
96,1,12.268155367753934,11.173564815602731,1.0945905521512032,3
97,1,12.46009641548153,10.999581192969345,1.4605152225121856,4
98,1,12.499016300454969,11.016025213495595,1.4829910869593732,5
99,1,12.408463234140072,11.309300716442522,1.0991625176975504,3
100,1,12.677811554269283,11.791915450143279,0.8858961041260045,3
101,1,12.056899971561506,9.010878297442105,3.0460216741194017,9
102,1,12.389025245065568,10.691446816519601,1.6975784285459667,5
103,1,11.924797833882621,9.768046349970973,2.1567514839116484,6
104,1,12.462176758631358,10.574904734273332,1.887272024358026,6
105,1,12.093219140238944,8.78024705122516,3.3129720890137833,10
106,1,11.866035382598056,10.135164260529564,1.7308711220684927,5
107,1,12.291138826010865,10.353352263962734,1.9377865620481316,5
108,1,11.987336421501823,9.234007075312547,2.7533293461892754,8
109,1,11.923117644560989,10.248025887587573,1.6750917569734156,5
110,1,12.18717259656114,10.768132967423298,1.419039629137842,4
111,1,11.995217955802218,9.652508341401699,2.342709614400519,6
