method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,leaf_size,node_budget,prefer_deeper_ties,exploration,seed,start_depth,candidate_target,stop_when_exact
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s02269,100,123,1,1000,1,True,True,0.93734,0.10491600551176816,0.11659970332402735,105.76924082124606,0.10491600551176816,0.10491600551176816,0.10491600551176816,8366896,77611008,16550.453,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s02271,100,570,1,1000,1,True,True,0.99617,0.36452050699153915,0.3993663529399782,365.9150541643612,0.36452050699153915,0.36452050699153915,0.36452050699153915,8366896,77611008,76072.026,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-4096-seed42,refine-s02270,100,380,1,1000,1,True,True,0.99,0.25418750738026574,0.27668364346027374,255.2058796864003,0.25418750738026574,0.25418750738026574,0.25418750738026574,8366896,77611008,50864.535,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-1024-seed42,refine-s01026,1,78,1,1000,1,True,True,0.99,0.13952099834568799,0.156794046779396,140.27746951614972,0.13952099834568799,0.13952099834568799,0.13952099834568799,8366896,80265216,41147.48,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-1024-seed42,refine-s01027,1,117,1,1000,1,True,True,0.994,0.20943750132573768,0.23262914619408548,210.28322071651928,0.20943750132573768,0.20943750132573768,0.20943750132573768,8366896,80265216,61651.759,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-256-seed42,refine-s00973,15,24,1,1000,1,True,True,0.9466666666666667,0.16170799790415913,0.1818896023905836,162.44323112186976,0.16170799790415913,0.16170799790415913,0.16170799790415913,8366896,81707008,50373.254,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,256,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-256-seed42,refine-s00972,15,16,1,1000,1,True,True,0.906,0.11045899736927822,0.12633299120352603,110.95662428124342,0.11045899736927822,0.11045899736927822,0.11045899736927822,8366896,81707008,33669.685,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-64-seed42,refine-s00810,3,7,1,1000,1,True,True,0.9003333333333333,0.1835624934756197,0.2776961504423525,195.54954380146228,0.1835624934756197,0.1835624934756197,0.1835624934756197,8366896,75677696,58321.687,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-64-seed42,refine-s00811,3,11,1,1000,1,True,True,0.9483333333333334,0.28602100064745173,0.31850414525251836,287.0524752797792,0.28602100064745173,0.28602100064745173,0.28602100064745173,8366896,75677696,91696.595,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-64-seed42,refine-s00865,7,12,1,1000,1,True,True,0.954,0.31387498893309385,0.34829731011996046,314.60815414902754,0.31387498893309385,0.31387498893309385,0.31387498893309385,8366896,75907072,99993.639,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-64-seed42,refine-s00864,7,8,1,1000,1,True,True,0.908,0.20960450638085604,0.23796009700163268,210.9360611793818,0.20960450638085604,0.20960450638085604,0.20960450638085604,8366896,75907072,66691.682,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-64-seed42,refine-s00919,10,12,1,1000,1,True,True,0.9503,0.3140835033264011,0.3514181051286869,315.940122018219,0.3140835033264011,0.3140835033264011,0.3140835033264011,8366896,75956224,99993.639,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
scan,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d32/routers/ivf-binary-64-seed42,refine-s00918,10,8,1,1000,1,True,True,0.9012,0.21058299898868427,0.24030239292187616,211.54205579659902,0.21058299898868427,0.21058299898868427,0.21058299898868427,8366896,75956224,66691.682,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
