method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,start_depth,candidate_target,leaf_size,node_budget,exploration,seed
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00536,10,4096,1,1000,1,True,True,0.3116,3.4763124999699357,4.833706249928581,3799.83218299094,3.4763124999699357,3.4763124999699357,3.4763124999699357,23008964,111493120,22304.981,0.0,0.0,0.0,10.715,87777.28,6.285,16,10000,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00565,100,4096,1,1000,1,True,True,0.08636,2.2019999998974527,3.4150941000007133,2396.8981629973314,2.2019999998974527,2.2019999998974527,2.2019999998974527,23008964,111493120,4954.733,0.0,0.0,0.0,7.134,58441.728,9.866,16,1000,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00545,100,19,1,1000,1,True,True,0.58586,0.17843749992607627,0.22763125020901498,184.61226799126962,0.17843749992607627,0.17843749992607627,0.17843749992607627,23008964,111493120,1544.76,0.0,0.0,0.0,14.612,550.962,2.388,16,1000,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00509,1,4096,1,1000,1,True,True,1.0,25.779041999840047,26.484862850225,25794.508858000427,25.779041999840047,25.779041999840047,25.779041999840047,23008964,111493120,522931.0,0.0,0.0,0.0,17.0,131072.0,0.0,16,0,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00522,10,17,1,1000,1,True,True,0.9004,0.19381249990146898,0.22154405039600533,195.25945700524971,0.19381249990146898,0.19381249990146898,0.19381249990146898,23008964,111493120,2354.693,0.0,0.0,0.0,17.0,544.0,0.0,16,100000,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00531,10,303,1,1000,1,True,True,0.7148,1.0046044999398873,1.501358649852591,1067.7861200074403,1.0046044999398873,1.0046044999398873,1.0046044999398873,23008964,111493120,16842.924,0.0,0.0,0.0,14.029,8501.574,2.971,16,10000,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00556,100,160,1,1000,1,True,True,0.7691,0.7946454998091212,1.1724580499276271,856.3019679977515,0.7946454998091212,0.7946454998091212,0.7946454998091212,23008964,111493120,13870.118,0.0,0.0,0.0,15.454,4874.56,1.546,16,10000,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00516,10,5,1,1000,1,True,True,0.8055,0.11695800003508339,0.1296669998055222,117.33458499702465,0.11695800003508339,0.11695800003508339,0.11695800003508339,23008964,111493120,723.5,0.0,0.0,0.0,17.0,160.0,0.0,16,10000,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00564,100,668,1,1000,1,True,True,0.99003,4.343041999845809,4.666856550079501,4348.437161006586,4.343041999845809,4.343041999845809,4.343041999845809,23008964,111493120,86503.784,0.0,0.0,0.0,17.0,21376.0,0.0,16,0,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00555,100,160,1,1000,1,True,True,0.23045,0.28891650003970426,0.43148365000433814,313.19382200081236,0.28891650003970426,0.28891650003970426,0.28891650003970426,23008964,111493120,1966.801,0.0,0.0,0.0,10.825,3464.0,6.175,16,1000,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00514,10,1,1,1000,1,True,True,0.5557,0.08654149996800697,0.09237709989520226,86.93388601204788,0.08654149996800697,0.08654149996800697,0.08654149996800697,23008964,111493120,155.864,0.0,0.0,0.0,17.0,32.0,0.0,16,0,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00489,1,2,1,1000,1,True,True,0.861,0.091999999995096,0.09967115006475069,92.5293360046453,0.091999999995096,0.091999999995096,0.091999999995096,23008964,111493120,300.875,0.0,0.0,0.0,17.0,64.0,0.0,16,0,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00488,1,2,1,1000,1,True,True,0.861,0.09191649996864726,0.09908304991768091,92.32705299973532,0.09191649996864726,0.09191649996864726,0.09191649996864726,23008964,111493120,300.875,0.0,0.0,0.0,17.0,64.0,0.0,16,261465,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00526,10,54,1,1000,1,True,True,0.9506,0.4305205002310686,0.4887687503696725,431.3406389960619,0.4305205002310686,0.4305205002310686,0.4305205002310686,23008964,111493120,7249.372,0.0,0.0,0.0,17.0,1728.0,0.0,16,10000,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00569,100,4096,1,1000,1,True,True,1.0,25.892250000197237,26.52718750002805,25875.460982003005,25.892250000197237,25.892250000197237,25.892250000197237,23008964,111493120,522931.0,0.0,0.0,0.0,17.0,131072.0,0.0,16,0,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00486,1,2,1,1000,1,True,True,0.861,0.09381250015394471,0.1033812499827036,94.63482300225223,0.09381250015394471,0.09381250015394471,0.09381250015394471,23008964,111493120,300.875,0.0,0.0,0.0,17.0,64.0,0.0,16,10000,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/qwen-quora-d256/routers/ivf-4096-seed42,main-s00495,1,5,1,1000,1,True,True,0.95,0.11527099991326395,0.12933305013120844,115.89136599695848,0.11527099991326395,0.11527099991326395,0.11527099991326395,23008964,111493120,722.944,0.0,0.0,0.0,16.982,159.9,0.018,16,1000,,,,
