setting_id,method,router,clusters,probes,leaf_size,node_budget,key_bits,recall,p50_ms,process_p50_min_ms,process_p50_max_ms,mean_scored,mean_split_words,mean_leaf_words,mean_key_lookups,logical_index_bytes,lifetime_peak_bytes,complete_processes,qualified
setting-070,keys,ivf,4096,467,0,0,4,0.95005,3.6987296771258116,3.6987296771258116,3.6987296771258116,114476.795,0.0,0.0,7472.0,40460980,153862144,1,True
setting-056,scan,ivf,4096,211,0,0,0,0.9,1.4925836585462093,1.4925836585462093,1.4925836585462093,52163.9,0.0,0.0,0.0,40000000,183402496,1,True
setting-092,branch,ivf,8192,127,1000000,0,0,0.8004,0.602042069658637,0.602042069658637,0.602042069658637,15614.785,0.0,306.605,0.0,80310784,222937088,1,True
setting-037,keys,ivf,256,119,0,0,1,0.9903,13.793166493996978,13.793166493996978,13.793166493996978,480127.3,0.0,0.0,238.0,40010240,140509184,1,True
setting-040,scan,ivf,256,256,0,0,0,1.0,25.05789534188807,25.05789534188807,25.05789534188807,1000000.0,0.0,0.0,0.0,40000000,158859264,1,True
setting-023,keys,ivf,256,29,0,0,8,0.90195,3.717229701578617,3.717229701578617,3.717229701578617,118453.375,0.0,0.0,7424.0,40425820,141967360,1,True
setting-028,branch,ivf,256,52,1000000,0,0,0.95025,5.621375283226371,5.621375283226371,5.621375283226371,211418.835,0.0,3329.845,0.0,72272384,192184320,1,True
setting-031,keys,ivf,256,52,0,0,8,0.95025,6.4593960996717215,6.4593960996717215,6.4593960996717215,211418.835,0.0,0.0,13312.0,40425820,141901824,1,True
setting-094,keys,ivf,8192,127,0,0,4,0.8004,0.6676248740404844,0.6676248740404844,0.6676248740404844,15614.785,0.0,0.0,2032.0,40812440,162988032,1,True
setting-066,branch,ivf,4096,467,128,1024,0,0.04445,0.4299171268939972,0.4299171268939972,0.4299171268939972,3473.47,4443.145,72.525,0.0,76110336,220610560,1,True
setting-082,branch,ivf,4096,4096,128,1024,0,0.03615,0.8671041578054428,0.8671041578054428,0.8671041578054428,6977.89,4280.765,131.28,0.0,76110336,220430336,1,True
setting-029,keys,ivf,256,52,0,0,1,0.95025,6.034541642293334,6.034541642293334,6.034541642293334,211418.835,0.0,0.0,104.0,40010240,140804096,1,True
setting-027,branch,ivf,256,52,512,0,0,0.95025,8.88304179534316,8.88304179534316,8.88304179534316,211418.835,96238.035,92822.625,0.0,72272384,192102400,1,True
setting-078,keys,ivf,4096,1330,0,0,4,0.99,10.37197932600975,10.37197932600975,10.37197932600975,325353.42,0.0,0.0,21280.0,40460980,153878528,1,True
setting-004,branch,none,1,1,1000000,0,0,1.0,25.526104029268026,25.526104029268026,25.526104029268026,1000000.0,0.0,15625.0,0.0,72000000,186056704,1,True
setting-101,keys,ivf,8192,353,0,0,1,0.9002,1.5137291047722101,1.5137291047722101,1.5137291047722101,42847.11,0.0,0.0,706.0,40307400,161185792,1,True
setting-125,keys,ivf,8192,8192,0,0,1,1.0,31.822354067116976,31.822354067116976,31.822354067116976,1000000.0,0.0,0.0,16384.0,40307400,161398784,1,True
setting-048,scan,ivf,4096,72,0,0,0,0.80005,0.5810412112623453,0.5810412112623453,0.5810412112623453,18106.705,0.0,0.0,0.0,40000000,183156736,1,True
setting-039,keys,ivf,256,119,0,0,8,0.9903,15.266437083482742,15.266437083482742,15.266437083482742,480127.3,0.0,0.0,30464.0,40425820,141737984,1,True
setting-116,branch,ivf,8192,2440,1000000,0,0,0.99,9.30695841088891,9.30695841088891,9.30695841088891,295858.36,0.0,5820.08,0.0,80310784,223199232,1,True
setting-097,branch,ivf,8192,353,128,256,0,0.34945,0.6588126998394728,0.6588126998394728,0.6588126998394728,13796.71,335.8,277.57,0.0,80310784,222887936,1,True
setting-038,keys,ivf,256,119,0,0,4,0.9903,13.549603521823883,13.549603521823883,13.549603521823883,480127.3,0.0,0.0,1904.0,40038700,140558336,1,True
setting-013,keys,ivf,256,12,0,0,1,0.8055,1.459083054214716,1.459083054214716,1.459083054214716,50005.31,0.0,0.0,24.0,40010240,140689408,1,True
setting-060,branch,ivf,4096,211,1000000,0,0,0.9,1.6805834602564573,1.6805834602564573,1.6805834602564573,52163.9,0.0,917.5,0.0,76110336,220971008,1,True
setting-090,branch,ivf,8192,127,128,1024,0,0.7991,0.7236876990646124,0.7236876990646124,0.7236876990646124,15450.97,1192.905,910.39,0.0,80310784,223395840,1,True
setting-061,keys,ivf,4096,211,0,0,1,0.9,1.6531669534742832,1.6531669534742832,1.6531669534742832,52163.9,0.0,0.0,422.0,40158080,152977408,1,True
setting-003,branch,none,1,1,512,0,0,1.0,290.23002041503787,290.23002041503787,290.23002041503787,1000000.0,73394843.75,73234609.375,0.0,72000000,555565056,1,True
setting-114,branch,ivf,8192,2440,128,1024,0,0.3883,2.29954207316041,2.29954207316041,2.29954207316041,55661.16,1310.385,1122.72,0.0,80310784,231489536,1,True
setting-055,keys,ivf,4096,72,0,0,8,0.80005,0.8809163700789213,0.8809163700789213,0.8809163700789213,18106.705,0.0,0.0,18432.0,42797700,160890880,1,True
setting-122,branch,ivf,8192,8192,128,1024,0,0.3883,2.8881665784865618,2.8881665784865618,2.8881665784865618,55661.16,1310.385,1122.72,0.0,80310784,223035392,1,True
setting-074,branch,ivf,4096,1330,128,1024,0,0.03615,0.6232499144971371,0.6232499144971371,0.6232499144971371,6977.89,4280.765,131.28,0.0,76110336,220561408,1,True
setting-107,branch,ivf,8192,778,512,0,0,0.95,2.9998954851180315,2.9998954851180315,2.9998954851180315,93930.33,0.0,1849.395,0.0,80310784,216924160,1,True
setting-020,branch,ivf,256,29,1000000,0,0,0.90195,3.1353335361927748,3.1353335361927748,3.1353335361927748,118453.375,0.0,1865.415,0.0,72272384,192151552,1,True
setting-108,branch,ivf,8192,778,1000000,0,0,0.95,2.9618125408887863,2.9618125408887863,2.9618125408887863,93930.33,0.0,1849.395,0.0,80310784,223150080,1,True
setting-002,branch,none,1,1,128,1024,0,0.81135,13.379374518990517,13.379374518990517,13.379374518990517,13796.665,12769375.0,3230625.0,0.0,72000000,269991936,1,True
setting-113,branch,ivf,8192,2440,128,256,0,0.34945,0.9864580351859331,0.9864580351859331,0.9864580351859331,13796.71,335.8,277.57,0.0,80310784,222887936,1,True
setting-112,scan,ivf,8192,2440,0,0,0,0.99,8.673416683450341,8.673416683450341,8.673416683450341,295858.36,0.0,0.0,0.0,40000000,176046080,1,True
setting-022,keys,ivf,256,29,0,0,4,0.90195,3.2950418535619974,3.2950418535619974,3.2950418535619974,118453.375,0.0,0.0,464.0,40038700,140640256,1,True
setting-068,branch,ivf,4096,467,1000000,0,0,0.95005,3.293958492577076,3.293958492577076,3.293958492577076,114476.795,0.0,2016.035,0.0,76110336,220364800,1,True
setting-121,branch,ivf,8192,8192,128,256,0,0.34945,1.6066257376223803,1.6066257376223803,1.6066257376223803,13796.71,335.8,277.57,0.0,80310784,231440384,1,True
setting-069,keys,ivf,4096,467,0,0,1,0.95005,3.6277498584240675,3.6277498584240675,3.6277498584240675,114476.795,0.0,0.0,934.0,40158080,153141248,1,True
setting-067,branch,ivf,4096,467,512,0,0,0.95005,3.3844790887087584,3.3844790887087584,3.3844790887087584,114476.795,103.545,2073.885,0.0,76110336,220708864,1,True
setting-053,keys,ivf,4096,72,0,0,1,0.80005,0.6366248708218336,0.6366248708218336,0.6366248708218336,18106.705,0.0,0.0,144.0,40158080,152633344,1,True
