setting_id,method,clusters,probes,target,leaf_size,node_budget,key_bits,status,predicted_docs_in_opened_clusters,predicted_mask_words_in_opened_clusters,predicted_routing_recall,recall,query_ms_p50,query_ms_p90,search_ms_p50,routing_ms_p50,documents_scored,split_words,leaf_words,nodes,key_lookups,keys,stop_reasons,codes_bytes,row_ids_bytes,bitplanes_bytes,directory_bytes,occupied_keys,logical_index_bytes,routing_payload_bytes,resident_bytes,lifetime_peak_bytes,fits_ram,build_ms,measurements,power_unchanged,predicted_search_ms,search_ms_error_percent,predicted_documents_scored,predicted_recall,predicted_keys,predicted_key_lookups,predicted_split_words,predicted_leaf_words
s063,scan,256,52,0.95,0,0,0,complete,211418.835,3329.845,0.95025,0.95025,5.4838331416249275,5.938600562512875,5.462229484692216,0.02491637133061886,211418.835,0.0,0.0,0.0,0.0,0.0,"[""exhausted""]",32000000,8000000,0,0,0,40000000,264192,118865920,158662656,True,12.400208041071892,400,True,5.544346719048957,1.5033647814847981,211418.835,0.95025,,,,
s005,branch,1,1,,128,4096,0,complete,1000000.0,15625.0,1.0,0.9533,60.759353917092085,65.59919165447354,60.75533293187618,0.003416091203689575,66739.75,48004218.75,15995781.25,4096.0,0.0,0.0,"[""budget""]",32000000,8000000,32000000,0,0,72000000,0,421216256,686129152,True,573.7550002522767,400,True,71.33492472903,17.413437284619153,,,,,,
s160,keys,8192,127,0.8,0,0,8,complete,15614.785,306.605,0.8004,0.8004,1.0754999238997698,1.1997999623417854,0.926958629861474,0.14679157175123692,15614.785,0.0,0.0,0.0,32512.0,256.0,"[""exhausted""]",32000000,8000000,0,4062680,203134,44062680,8454144,133070848,172834816,True,120.37337524816394,400,True,0.919384058593002,-0.8171423216162308,15614.785,0.8004,256,32512,,
s125,keys,4096,72,0.8,0,0,12,complete,18106.705,317.625,0.80005,0.80005,3.747000126168132,4.118441743776202,3.6612499970942736,0.084687490016222,18106.705,0.0,0.0,0.0,294912.0,4096.0,"[""exhausted""]",32000000,8000000,0,7694100,384705,47694100,4227072,136560640,176324608,True,167.0683748088777,400,True,4.448728264014864,21.508453876287266,18106.705,0.80005,4096,294912,,
s067,branch,256,52,0.95,128,512,0,complete,211418.835,3329.845,0.95025,0.0025,0.16454211436212063,0.24192873388528827,0.1543124672025442,0.009750016033649445,200.5,32692.76,129.24,512.0,0.0,0.0,"[""budget""]",32000000,8000000,32272384,0,0,72272384,264192,152666112,192266240,True,550.6054167635739,400,True,0.14956142891718804,-3.07884279960358,,,,,,
s006,keys,1,1,,0,0,4,complete,1000000.0,15625.0,1.0,1.0,27.12210384197533,27.856025006622076,27.118854457512498,0.0017080456018447876,1000000.0,0.0,0.0,0.0,16.0,16.0,"[""exhausted""]",32000000,8000000,0,160,8,40000160,0,104841216,136839168,True,114.75929198786616,400,True,30.786438503858577,13.52411124921274,1000000.0,1.0,16,16,,
s026,keys,64,11,0.9,0,0,12,complete,178239.105,2790.705,0.9085,0.9085,6.730041932314634,7.453299826011062,6.705791223794222,0.022166641429066658,178239.105,0.0,0.0,0.0,45056.0,4096.0,"[""exhausted""]",32000000,8000000,0,1124940,56247,41124940,66048,98680832,138493952,True,251.76812475547194,400,True,6.089231203289961,-9.194441042490489,178239.105,0.9085,4096,45056,,
s019,branch,64,11,0.9,1000000,0,0,complete,178239.105,2790.705,0.9085,0.9085,4.800437483936548,5.41415479965508,4.783583572134376,0.0161672942340374,178239.105,0.0,2790.705,11.0,0.0,0.0,"[""exhausted""]",32000000,8000000,32065536,0,0,72065536,66048,138182656,177930240,True,546.4780409820378,400,True,5.280046641630695,10.378475927301581,178239.105,0.9085,,,0.0,2790.705
s180,scan,8192,2440,0.99,0,0,0,complete,295858.36,5820.08,0.99,0.99,8.784041507169604,9.295383235439658,8.4004164673388,0.3740836400538683,295858.36,0.0,0.0,0.0,0.0,0.0,"[""exhausted""]",32000000,8000000,0,0,0,40000000,8454144,136462336,176078848,True,29.82037514448166,400,True,7.7404270450647,-7.856627404607489,295858.36,0.99,,,,
s032,branch,64,18,0.95,128,4096,0,complete,286891.74,4491.88,0.9537,0.89925,9.107937337830663,10.520191164687276,9.083145763725042,0.02360413782298565,64216.575,781226.145,285545.81,4096.0,0.0,0.0,"[""budget""]",32000000,8000000,32065536,0,0,72065536,66048,142917632,177995776,True,547.5312499329448,400,True,4.0789953513992225,-55.09270182925693,,,,,,
