routing_method,probes,kind,node_budget,explore_probability,comparison,metric,queries,search_seeds,difference,ci_low,ci_high
ivf,2,branch,64,0.1,branch-minus-scan,binary_recall,648,3,-0.9254218106995886,-0.9345936213991769,-0.9156268004115226
ivf,2,branch,64,0.1,branch-minus-scan,ndcg,648,3,-0.21426728372879775,-0.23830798449670287,-0.18998989667837374
ivf,2,branch,64,0.1,branch-minus-scan,precision,648,3,-0.06136831275720164,-0.06878343621399176,-0.05442386831275721
ivf,2,branch,64,0.1,branch-minus-scan,relevance_recall,648,3,-0.25412461338387266,-0.28188770837787036,-0.22680890226029113
ivf,2,branch,64,0.1,exploration-minus-deterministic,float_recall,648,3,-0.028703703703703707,-0.03601208847736625,-0.02186085390946502
ivf,2,branch,64,0.1,exploration-minus-deterministic,binary_recall,648,3,-0.02793724279835391,-0.033041152263374486,-0.02319701646090535
ivf,2,branch,64,0.1,exploration-minus-deterministic,ndcg,648,3,-0.022033100291491216,-0.031976836133022477,-0.012803394474681686
ivf,2,branch,64,0.1,exploration-minus-deterministic,precision,648,3,-0.006121399176954733,-0.009311985596707819,-0.003342335390946502
ivf,2,branch,64,0.1,exploration-minus-deterministic,relevance_recall,648,3,-0.02081045240767463,-0.03008258427529261,-0.012308180181444075
ivf,2,branch,128,0.0,branch-minus-scan,float_recall,648,1,-0.1625,-0.17530864197530863,-0.14953703703703705
ivf,2,branch,128,0.0,branch-minus-scan,binary_recall,648,1,-0.47404320987654325,-0.48348881172839514,-0.46527777777777773
ivf,2,branch,128,0.0,branch-minus-scan,ndcg,648,1,-0.027353604115504176,-0.039596454476928576,-0.016832210507731843
ivf,2,branch,128,0.0,branch-minus-scan,precision,648,1,-0.008179012345679013,-0.011728395061728396,-0.0049382716049382715
ivf,2,branch,128,0.0,branch-minus-scan,relevance_recall,648,1,-0.04546529002547521,-0.06350418871252204,-0.028722105869096612
ivf,2,branch,128,0.1,branch-minus-scan,float_recall,648,3,-0.1868827160493827,-0.20077289094650205,-0.1721077674897119
ivf,2,branch,128,0.1,branch-minus-scan,binary_recall,648,3,-0.5043004115226338,-0.5141971450617283,-0.49402186213991767
ivf,2,branch,128,0.1,branch-minus-scan,ndcg,648,3,-0.03574248754630253,-0.048030313523099395,-0.02488152816974634
ivf,2,branch,128,0.1,branch-minus-scan,precision,648,3,-0.01069958847736625,-0.014301697530864192,-0.007148919753086415
ivf,2,branch,128,0.1,branch-minus-scan,relevance_recall,648,3,-0.056010557515187145,-0.07507977843915344,-0.03913861943954536
