method,probes,node_budget,explore_probability,seed,measurements,float_recall,binary_recall,ndcg,precision,relevance_recall,candidates,nodes,random_nodes,documents_scored,budget_exhausted,bitplane_words,routed_documents,selected_buckets,routing_float_recall,empty_result,fewer_than_k,candidate_fill_rate,retrieval_p50_ms,retrieval_p95_ms,core_p50_ms,core_p95_ms,native_p50_ms,native_p95_ms,routing_p50_ms,routing_p95_ms,rerank_p50_ms,rerank_p95_ms
ivf/branch,2,16,0.1,44,1944,0.0,0.0004166666666666667,0.0015486531524036423,0.000308641975308642,0.0011574074074074073,5.828703703703703,16.0,1.5740740740740742,5.828703703703703,1.0,259.2191358024691,2097.9706790123455,2.0,0.6708333333333333,0.5015432098765432,0.7808641975308642,0.05828703703703704,0.019770581275224686,0.03569666296243667,0.011041760444641113,0.015243794769048687,0.009167,0.013160699999999996,0.005604466423392296,0.0072089023888111115,0.0017706770449876785,0.01411875709891319
ivf/branch,2,32,0.0,42,1944,0.002777777777777778,0.0028240740740740743,0.0018166581441729271,0.000617283950617284,0.00257201646090535,1.0092592592592593,32.0,0.0,1.1512345679012346,1.0,538.7222222222222,2097.9706790123455,2.0,0.6708333333333333,0.9753086419753086,0.9753086419753086,0.010092592592592592,0.018499791622161865,0.022958824411034584,0.012124888598918915,0.014999881386756897,0.010208,0.012708849999999999,0.005458947271108627,0.0066672684624791145,0.0006249174475669861,0.0008330680429935455
ivf/branch,2,32,0.1,42,1944,0.002932098765432099,0.003256172839506173,0.0018166581441729271,0.000617283950617284,0.00257201646090535,15.344135802469136,32.0,3.134259259259259,15.429012345679013,1.0,513.5617283950618,2097.9706790123455,2.0,0.6708333333333333,0.21604938271604937,0.5154320987654321,0.15344135802469133,0.026333611458539963,0.04595261998474597,0.013957731425762177,0.019832979887723923,0.011917,0.0175,0.005708076059818268,0.007375143468379974,0.006145564839243889,0.019916659221053123
ivf/branch,2,32,0.1,43,1944,0.002777777777777778,0.0035339506172839506,0.0019516453572923842,0.0007716049382716049,0.002829218106995885,14.688271604938272,32.0,3.1358024691358026,14.766975308641975,1.0,512.4475308641976,2097.9706790123455,2.0,0.6708333333333333,0.18209876543209877,0.49228395061728397,0.14688271604938272,0.027583912014961243,0.04549354780465364,0.014479504898190498,0.01975002232939005,0.012459,0.017534849999999998,0.005791895091533661,0.007417052984237671,0.006895978003740311,0.01911849249154329
ivf/branch,2,32,0.1,44,1944,0.002623456790123457,0.003487654320987654,0.0033653112965765695,0.000925925925925926,0.003729423868312757,14.42283950617284,32.0,3.115740740740741,14.515432098765432,1.0,513.5493827160494,2097.9706790123455,2.0,0.6708333333333333,0.19444444444444445,0.5,0.14422839506172838,0.026416964828968048,0.042868545278906815,0.013916287571191788,0.018868828192353245,0.011916,0.016659849999999997,0.005667097866535187,0.007291790097951889,0.006145564839243889,0.018404261209070676
ivf/branch,2,64,0.0,42,1944,0.10540123456790124,0.10251543209876544,0.08408297186906893,0.018981481481481485,0.088055822778045,30.864197530864196,64.0,0.0,38.401234567901234,1.0,1045.0694444444443,2097.9706790123455,2.0,0.6708333333333333,0.5447530864197531,0.5478395061728395,0.30864197530864196,0.025667017325758934,0.07386908400803804,0.01770816743373871,0.03241680096834898,0.015417,0.03003485,0.00562518835067749,0.00733276829123497,0.0007913913577795029,0.03595175221562385
ivf/branch,2,64,0.1,42,1944,0.07530864197530864,0.07348765432098767,0.06239915089662324,0.012962962962962964,0.06759994121105233,50.07253086419753,64.0,6.316358024691358,58.65432098765432,1.0,998.5108024691358,2097.9706790123455,2.0,0.6708333333333333,0.016975308641975308,0.11265432098765432,0.5007253086419754,0.047270674258470535,0.07680824492126702,0.02285442315042019,0.03469563089311122,0.020459,0.0324107,0.005958136171102524,0.007541710510849953,0.0177919864654541,0.03607680555433034
ivf/branch,2,64,0.1,43,1944,0.07854938271604937,0.07541666666666666,0.058165380573201086,0.0125,0.06419936801881246,50.111111111111114,64.0,6.305555555555555,58.52469135802469,1.0,998.5308641975308,2097.9706790123455,2.0,0.6708333333333333,0.013888888888888888,0.09722222222222222,0.5011111111111111,0.045833876356482506,0.07516704499721527,0.021957792341709137,0.03308423329144716,0.019667,0.03090439999999999,0.006041955202817917,0.007541850209236145,0.01714564859867096,0.03570783883333206
ivf/branch,2,64,0.1,44,1944,0.07623456790123456,0.07483024691358024,0.06558508326290881,0.013117283950617283,0.06993680188124632,50.03703703703704,64.0,6.325617283950617,58.28858024691358,1.0,999.8858024691358,2097.9706790123455,2.0,0.6708333333333333,0.006172839506172839,0.09567901234567901,0.5003703703703704,0.04835380241274834,0.07874984294176102,0.022792024537920952,0.034208339639008045,0.020417,0.03160624999999999,0.0061248429119586945,0.008368631824851033,0.018229708075523376,0.03732056356966495
ivf/branch,2,128,0.0,42,1944,0.44382716049382714,0.5259567901234566,0.2489635511908713,0.06604938271604938,0.27590469372876775,99.84413580246914,128.0,0.0,307.68364197530866,1.0,1777.7206790123457,2097.9706790123455,2.0,0.6708333333333333,0.0,0.0,0.9984413580246914,0.08912477642297745,0.11714817956089972,0.04750024527311325,0.061125028878450394,0.0449795,0.05769555,0.0061248429119586945,0.011731241829693305,0.03491714596748352,0.043529481627047055
