query,top_k,empty_depths,lookups_at_empty_depths,total_lookups
138,100,10,1560,4992
139,1,11,1716,4992
139,2,11,1716,4992
139,3,11,1716,4992
139,5,11,1716,4992
139,10,11,1716,4992
139,20,11,1716,4992
139,50,11,1716,4992
139,100,11,1716,4992
140,1,26,4056,4992
140,2,26,4056,4992
140,3,26,4056,4992
140,5,26,4056,4992
140,10,26,4056,4992
140,20,26,4056,4992
140,50,26,4056,4992
140,100,26,4056,4992
141,1,12,1872,4992
141,2,12,1872,4992
141,3,12,1872,4992
141,5,12,1872,4992
141,10,12,1872,4992
141,20,12,1872,4992
141,50,12,1872,4992
141,100,12,1872,4992
142,1,13,2028,4836
142,2,13,2028,4836
142,3,13,2028,4836
142,5,13,2028,4836
142,10,13,2028,4992
142,20,13,2028,4992
142,50,13,2028,4992
142,100,13,2028,4992
143,1,13,2028,4212
143,2,13,2028,4836
143,3,13,2028,4836
143,5,13,2028,4836
143,10,13,2028,4836
143,20,13,2028,4992
143,50,13,2028,4992
143,100,13,2028,4992
144,1,11,1716,4992
144,2,11,1716,4992
144,3,11,1716,4992
144,5,11,1716,4992
144,10,11,1716,4992
144,20,11,1716,4992
144,50,11,1716,4992
144,100,11,1716,4992
145,1,8,1248,4836
145,2,8,1248,4836
145,3,8,1248,4836
