recall,recall_low,recall_high,p50_ms,p95_ms,p50_low,p50_high,queries,blocks,timing_observations,setting_id,documents,top_k,method,router,clusters,probes,node_budget,leaf_size,key_bits,candidate_target,exploration,lifetime_peak_bytes,qualified_environment
0.9925,0.99015,0.9944,11.012666625902057,12.265702267177403,10.765162669122219,11.219125241041183,200,3,1800,s5367,1000000,100,keys,ivf,4096,1536,0,0,4,0,0,153321472,True
0.91735,0.90455,0.9296,1.6856039874255657,1.829258375801146,1.6667912190314382,1.7012927739415318,200,3,1800,s5640,1000000,100,branch,ivf,8192,448,512,1024,0,0,0,230932480,True
0.91735,0.90455,0.9296,1.6341248992830515,1.783202402293682,1.6066606738604605,1.6684806789271533,200,3,1800,s5641,1000000,100,scan,ivf,8192,448,0,0,0,0,0,190038016,True
0.91735,0.90455,0.9296,1.8801877740770578,2.063351799733937,1.860249211313203,1.9010855350643396,200,3,1800,s5918,1000000,100,keys,ivf,8192,448,0,0,4,0,0,162349056,True
0.82535,0.8035,0.84590375,0.6984791252762079,0.7696374552324414,0.691456045024097,0.7062144228257239,200,3,1800,s5919,1000000,100,branch,ivf,8192,160,4096,512,0,0,0,230916096,True
0.82535,0.8035,0.84590375,0.6748959422111511,0.7449223194271326,0.6630396354012191,0.6884788221213967,200,3,1800,s6027,1000000,100,scan,ivf,8192,160,0,0,0,0,0,189595648,True
0.82535,0.8035,0.84590375,0.7506459951400757,0.8396018529310822,0.7429574150592089,0.7591697270981967,200,3,1800,s6115,1000000,100,keys,ivf,8192,160,0,0,4,0,0,162283520,True
0.95175,0.9458,0.9571512499999999,0.18331268802285194,0.19771112129092216,0.17943745478987694,0.18656281172297895,200,3,1800,s6210,10000,100,keys,ivf,64,36,0,0,4,0,0,49643520,True
0.98735,0.98485,0.98955125,1.4939371030777693,1.5495021361857653,1.4888523845002055,1.5000431798398495,200,3,1800,s6212,100000,100,keys,ivf,1024,499,0,0,4,50000,0,60145664,True
0.88345,0.86924875,0.8971,0.4144790582358837,0.446343538351357,0.40912198019213974,0.41870924178510904,200,3,1800,s6214,100000,100,branch,ivf,1024,138,0,1024,0,0,0,66650112,True
